"Batch.Order.ID","Market.Name","Stock.Name","Order.Type","Price","Quantity","Created.At","Quantity.Filled","GJP.User.ID"
744,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",10,100,"8/20/14 0:18",100,21584
746,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","sell",55,50,"8/20/14 0:19",0,21584
747,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",10,50,"8/20/14 0:20",0,21584
756,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",47,10,"8/20/14 3:32",0,4331
757,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",25,10,"8/20/14 3:35",0,4331
769,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",20,12,"8/20/14 4:19",0,21544
770,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",20,12,"8/20/14 4:19",0,21544
771,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Abdullah Abdullah","buy",5,20,"8/20/14 4:19",0,21544
772,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",50,10,"8/20/14 4:19",0,21544
773,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a sentence less than life","buy",1,100,"8/20/14 4:20",0,21544
774,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","buy",1,100,"8/20/14 4:20",0,21544
775,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",10,10,"8/20/14 4:22",10,21544
794,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",50,100,"8/20/14 5:21",0,21324
805,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","buy",5,100,"8/20/14 5:46",0,21490
806,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",10,100,"8/20/14 5:47",100,21490
810,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","buy",50,50,"8/20/14 5:52",0,21490
812,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",1,205,"8/20/14 6:01",205,15729
829,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",15,10,"8/20/14 6:52",0,21357
843,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",30,30,"8/20/14 7:13",0,21585
844,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Abdullah Abdullah","buy",3,20,"8/20/14 7:15",0,21585
849,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","buy",15,20,"8/20/14 7:16",0,21585
850,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",10,20,"8/20/14 7:16",0,21585
853,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a sentence less than life","buy",5,20,"8/20/14 7:17",0,21585
855,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",2,20,"8/20/14 7:23",0,21585
856,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","buy",1,30,"8/20/14 7:24",0,21585
857,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","buy",2,30,"8/20/14 7:25",30,21585
858,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","buy",2,20,"8/20/14 7:26",0,21585
860,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",12,10,"8/20/14 7:31",10,12016
861,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",16,50,"8/20/14 7:35",0,21585
862,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","buy",12,60,"8/20/14 7:35",0,21585
863,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","buy",15,10,"8/20/14 7:35",0,21585
